item_id,item_name,dup_cluster_id
2046,"Borderlands: The Pre-Sequel. набор «Шоковый кратер кровопролития» (дополнение) [PC, Цифровая версия]",150621
6910,"Tekken 6 (Essentials) [PS3, русская версия]",217868
17150,ПОВТОРЯЮЩИЕ РЕАЛЬНОСТЬ (регион),265623
13245,Комикс Дорожная ярость,344832
4999,"NBA 2K15 [Xbox One, английская версия]",376516
8707,БЕДНАЯ БОГАТАЯ ДЕВОЧКА,461748
2557,DEEP PURPLE Burn - 30th Anniversary Edition (фирм.),473042
16522,ОДНАЖДЫ ЭТА БОЛЬ ПРИНЕСЕТ ТЕБЕ ПОЛЬЗУ (регион),517552
5547,"PRESLEY, ELVIS #1 Hit Performances DVD (Кир.)",550404
2402,Company of Heroes. Tales of Valor (PC-DVD) (Jewel),701372
