query,item_id,item_name,brand,model,target_part_type,score
iPhone 11 screen,843,"1С:Школа.  Биология, 11 класс [PC, Цифровая версия]",,1,,4
iPhone 11 screen,4928,"Movavi Screen Capture Studio. Бизнес версия (Movavi) [PC, Цифровая версия]",,,screen,4
iPhone 11 screen,5016,NERO 11 Multimedia Suite Platinum HD BOX,,11,,4
iPhone 11 screen,5030,"NHL 11 [Xbox 360, русская версия]",,11,,4
iPhone 11 screen,5879,Premiere Elements 11 Windows Russian BOX,,11,,4
iPhone 11 screen,3310,"FIFA 11 [PSP, русская версия]",,11,,4
iPhone 11 screen,3311,"FIFA 11 [Xbox 360, русская версия]",,11,,4
iPhone 11 screen,71,11 ДРУЗЕЙ ОУШЕНА WB (BD),,11,,4
iPhone 11 screen,3359,FIFA Manager 11 [PC],,11,,4
iPhone 11 screen,4929,"Movavi Screen Capture Studio. Персональная лицензия (Movavi) [PC, Цифровая версия]",,,screen,4
iPhone 11 screen,5753,Photoshop Elements 11 Windows Russian BOX,,11,,4
iPhone 11 screen,72,11 ДРУЗЕЙ ОУШЕНА WB (регион),,11,,4
iPhone 11 screen,5750,Photoshop Elements + Premiere Elements 11 Windows Russian BOX,,11,,4
iPhone 11 screen,1356,Acronis® Disk Director® 11 Home (box),,11,,4
iPhone 11 screen,4688,MOVAVI Video Suite 11 (box),,11,,4
Samsung battery,5597,PS Vita: Портативное зарядное устройство для батарей (PS Vita Portable battery charger: SCEE),,Portable,battery,4
