item_id,item_name,rarity_score,ml_phone_part_prob
0,! ВО ВЛАСТИ НАВАЖДЕНИЯ (ПЛАСТ.)         D,1.0,0.0
2,***В ЛУЧАХ СЛАВЫ   (UNV)                    D,1.0,0.0
3,***ГОЛУБАЯ ВОЛНА  (Univ)                      D,1.0,0.0
4,***КОРОБКА (СТЕКЛО)                       D,1.0,0.0
5,***НОВЫЕ АМЕРИКАНСКИЕ ГРАФФИТИ  (UNI)             D,1.0,0.0
8,***ЧАЙ С МУССОЛИНИ                     D,1.0,0.0
9,***ШУГАРЛЭНДСКИЙ ЭКСПРЕСС (UNI)             D,1.0,0.0
10,*ЗА ГРАНЬЮ СМЕРТИ                       D,1.0,0.0
11,*ЛИНИЯ СМЕРТИ                           D,1.0,0.0
13,*СПАСАЯ ЭМИЛИ                           D,1.0,0.0
14,*ЧОКНУТЫЙ ПРОФЕССОР /МАГИЯ/             D,1.0,0.0
15,//АДРЕНАЛИН: ОДИН ПРОТИВ ВСЕХ (Регион),1.0,0.0
16,//МОНГОЛ С.Бодров (Регион),1.0,0.0
17,//НЕ ОСТАВЛЯЮЩИЙ СЛЕДА (Регион),1.0,0.0
18,/БОМБА ДЛЯ НЕВЕСТЫ /2DVD/               D,1.0,0.0
19,/ЗОЛОТАЯ КОЛЛЕКЦИЯ м/ф-72,1.0,0.0
20,/ОДНАЖДЫ В КИТАЕ-2,1.0,0.0
21,/ПОСЛЕДНИЙ ШАНС,1.0,0.0
22,/ПРОКЛЯТЬЕ ЭЛЬ ЧАРРО,1.0,0.0
24,/СМЕРТЕЛЬНЫЙ РАСКЛАД,1.0,0.0
