item_id,item_name,brand,model,part_type,category_name
0,! ВО ВЛАСТИ НАВАЖДЕНИЯ (ПЛАСТ.)         D,,,,Кино - DVD
1,"!ABBYY FineReader 12 Professional Edition Full [PC, Цифровая версия]",,12,,Программы - Для дома и офиса (Цифра)
2,***В ЛУЧАХ СЛАВЫ   (UNV)                    D,,,,Кино - DVD
3,***ГОЛУБАЯ ВОЛНА  (Univ)                      D,,,,Кино - DVD
4,***КОРОБКА (СТЕКЛО)                       D,,,,Кино - DVD
5,***НОВЫЕ АМЕРИКАНСКИЕ ГРАФФИТИ  (UNI)             D,,,,Кино - DVD
6,***УДАР ПО ВОРОТАМ (UNI)               D,,,,Кино - DVD
7,***УДАР ПО ВОРОТАМ-2 (UNI)               D,,-2,,Кино - DVD
8,***ЧАЙ С МУССОЛИНИ                     D,,,,Кино - DVD
9,***ШУГАРЛЭНДСКИЙ ЭКСПРЕСС (UNI)             D,,,,Кино - DVD
