item_name,item_id,item_category_id,brand,model,part_type,is_phone_part,confidence,category_name
! ВО ВЛАСТИ НАВАЖДЕНИЯ (ПЛАСТ.)         D,0,40,,,,False,0.0,Кино - DVD
"!ABBYY FineReader 12 Professional Edition Full [PC, Цифровая версия]",1,76,,12,,False,0.0,Программы - Для дома и офиса (Цифра)
***В ЛУЧАХ СЛАВЫ   (UNV)                    D,2,40,,,,False,0.0,Кино - DVD
***ГОЛУБАЯ ВОЛНА  (Univ)                      D,3,40,,,,False,0.0,Кино - DVD
***КОРОБКА (СТЕКЛО)                       D,4,40,,,,False,0.0,Кино - DVD
***НОВЫЕ АМЕРИКАНСКИЕ ГРАФФИТИ  (UNI)             D,5,40,,,,False,0.0,Кино - DVD
***УДАР ПО ВОРОТАМ (UNI)               D,6,40,,,,False,0.0,Кино - DVD
***УДАР ПО ВОРОТАМ-2 (UNI)               D,7,40,,,,False,0.0,Кино - DVD
***ЧАЙ С МУССОЛИНИ                     D,8,40,,,,False,0.0,Кино - DVD
***ШУГАРЛЭНДСКИЙ ЭКСПРЕСС (UNI)             D,9,40,,,,False,0.0,Кино - DVD
*ЗА ГРАНЬЮ СМЕРТИ                       D,10,40,,,,False,0.0,Кино - DVD
*ЛИНИЯ СМЕРТИ                           D,11,40,,,,False,0.0,Кино - DVD
*МИХЕЙ И ДЖУМАНДЖИ  Сука любовь,12,55,,,,False,0.0,Музыка - CD локального производства
*СПАСАЯ ЭМИЛИ                           D,13,40,,,,False,0.0,Кино - DVD
*ЧОКНУТЫЙ ПРОФЕССОР /МАГИЯ/             D,14,40,,,,False,0.0,Кино - DVD
//АДРЕНАЛИН: ОДИН ПРОТИВ ВСЕХ (Регион),15,40,,,,False,0.0,Кино - DVD
//МОНГОЛ С.Бодров (Регион),16,40,,,,False,0.0,Кино - DVD
//НЕ ОСТАВЛЯЮЩИЙ СЛЕДА (Регион),17,40,,,,False,0.0,Кино - DVD
/БОМБА ДЛЯ НЕВЕСТЫ /2DVD/               D,18,40,,,,False,0.0,Кино - DVD
/ЗОЛОТАЯ КОЛЛЕКЦИЯ м/ф-72,19,40,,,,False,0.0,Кино - DVD
/ОДНАЖДЫ В КИТАЕ-2,20,40,,,,False,0.0,Кино - DVD
/ПОСЛЕДНИЙ ШАНС,21,40,,,,False,0.0,Кино - DVD
/ПРОКЛЯТЬЕ ЭЛЬ ЧАРРО,22,40,,,,False,0.0,Кино - DVD
/СЕВЕР И ЮГ /Ч.2/,23,40,,,,False,0.0,Кино - DVD
/СМЕРТЕЛЬНЫЙ РАСКЛАД,24,40,,,,False,0.0,Кино - DVD
/ТЫ  - ТРУП,25,40,,,,False,0.0,Кино - DVD
/УМНОЖАЮЩИЙ ПЕЧАЛЬ т.2 (сер.3-4),26,40,,,,False,0.0,Кино - DVD
"007 Legends [PS3, русская версия]",27,19,,,,False,0.0,Игры - PS3
"007 Legends [PС, Jewel, русская версия]",28,30,,,,False,0.0,Игры PC - Стандартные издания
"007 Legends [Xbox 360, русская версия]",29,23,,,,False,0.0,Игры - XBOX 360
007: КООРДИНАТЫ «СКАЙФОЛЛ»,30,40,,,,False,0.0,Кино - DVD
