cluster_id,cluster_size
ee296001,147
2e8bc443,134
181adfa9,96
61349c1d,87
7d8d98d7,66
dbd1cc51,54
a8ed9918,50
e3d05e6f,40
cf2c93d6,38
0f6f82f4,38
95ee9bec,37
ded4566c,37
17ba40c8,37
637b715e,35
d5545e9a,34
21303369,34
797f0e95,34
f0477112,34
cb2a5d73,32
d0e89f1e,31
05352c91,29
551e2ff3,29
5bb4d8c9,28
991fb4c4,28
a182db89,28
4eeea314,26
e55af37a,26
04b29751,26
d287c3af,25
643c9268,25
742f24cb,25
ac1d5a1f,25
7479639a,24
a329a599,24
bcb4ed39,24
85fed275,24
577a2f22,23
4e17b456,23
33f3e572,23
b49edf8f,22
c6ff6ad9,22
4b202cb8,22
554cdbc7,22
414a35a1,22
c0c9be3c,21
0bf7688d,20
31c2b43d,20
893c56d4,20
57491bd7,20
8abd9efc,20
07ceadbf,20
591ee539,19
7050e374,19
1a633dac,19
e03ac832,19
1481fa31,19
84c7102a,18
68f4bd6c,18
3c1ac79c,18
6bd31a1e,18
027eba7c,18
a29a6e0b,17
eba2f825,17
d3dde3f6,17
0abd5ccd,17
5477d178,17
51bd3fff,17
02dc5789,17
8b42ec21,16
572ac487,16
22575501,16
5a8fc6e6,16
fb286122,16
d51086a6,16
fa130481,16
b4a1ed18,16
bcb79436,16
cafe9323,16
8839c804,16
98646a0b,16
b57e6e25,15
9bb464da,15
97ae6f6b,15
0de03930,15
c8d3ec0f,15
2b156fb3,15
750d3e65,15
df3b55ef,15
511c57eb,14
56516017,14
8712676f,14
573708af,14
f5093e33,14
a8e7d00f,14
1ccb8bbc,14
77142c82,14
6eec9226,14
84b1301f,14
7269ad0b,14
3ff90d50,14
6cba5bd5,14
b2f8f4b9,13
61f3e3ba,13
5f4b1e2c,13
97c2b13f,13
15bf5212,13
9566ad21,13
0dbe2a10,13
23cf2467,13
1ee86878,13
0eef223c,13
869fda76,13
affe3399,13
309073d7,12
fca27e70,12
603cdc44,12
9b3f8e77,12
6723dff2,12
98133618,12
16466d5d,12
b5e9c861,12
34887107,12
34afc456,12
dcfeade5,12
742d6ad1,12
f9c8d929,12
47e2d9cb,12
113603d2,12
0163b0af,12
fb6007c8,12
d6e1d041,11
4dc739b4,11
45fcddf9,11
abccfcb4,11
963583c6,11
fc3f3604,11
a17833b5,11
bdb4ea17,11
be24d2a4,11
68acb13c,11
dc1524f5,11
59a17cdd,11
eb6529eb,11
7927fc78,10
8086d7b4,10
16757dd8,10
62d686a7,10
5d2e56fc,10
8c0a7b38,10
55449e26,10
a5a0422c,10
65aa302d,10
61315ca6,10
20d9e5d6,10
a1a9c0b2,10
31a50dad,10
082ed405,10
400f13ab,10
905f0921,10
5e0744dd,10
ae8e1283,10
a96da3a8,10
419d2de2,10
06169a53,10
f395fddc,10
b246e9e3,10
8c2be0cf,10
fef1857c,10
ba69e593,10
98240302,10
08bb963e,10
b910cb0b,10
207a31e0,9
b81ecf03,9
1ee3ab38,9
90efc6b1,9
